utente/$/$/hotel,b

linda/$/$/Towneplace Suites Albany University Area,0.04

linda/$/$/Hotel Roc Flamingo,0.05

linda/$/$/Super 8 Metropolis,0.06

linda/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Hans/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.1

Fam. Wei/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.47

Martina/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Cathrin u Ralph/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

lteres Ehepaar/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.47

Stefan/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Stefan/$/$/Hotel Silken Siete Coronas,0.0

Achim/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Andrea Wolff/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.1

marcel/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.1

VOSSI/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.47

Michaela/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Michaela/$/$/Hotel Silken Siete Coronas,0.5

Jule/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Gabi/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.06

Gabi/$/$/Quality Inn and Suites Eugene-springfield,0.07

Hufi/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Janett/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Rolf/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.47

Rolf/$/$/Tryp Dusseldorf Krefeld Hotel,0.06

Janette/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Janette/$/$/Hotel Relais De Margaux Golf and Spa,0.08

Janette/$/$/Red Roof Inn St Louis - Troy,0.04

Janette/$/$/Comfort Inn Huntingdon,0.04

Iris/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Iris/$/$/Doubletree By Hilton West Palm Beach Airport,0.0

Iris/$/$/Inn At Queen Anne,0.09

Iris/$/$/Hampton Inn New Orleans - Downtown,0.0

Iris/$/$/The Abbey Resort,0.0

Diana/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.05

Diana/$/$/Comfort Suites Southport,0.13

Diana/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.13

Diana/$/$/Knights Inn Aiken,0.17

Diana/$/$/Solstice,0.16

Diana/$/$/American Star Inn and Suites Atlantic City,0.3

Diana/$/$/Americas Best Value Inn,0.13

Diana/$/$/Pelican Shores Inn,0.0

Diana/$/$/Lakeway Resort & Spa,0.06

Diana/$/$/Comfort Inn - Springfield,0.1

Diana/$/$/Ip Casino Resort Spa,0.07

Diana/$/$/Hampton Inn and Suites Annapolis,0.05

Diana/$/$/Best Western Silicon Valley Inn,0.16

Diana/$/$/La Quinta Inn and Suites Meridian,0.12

Diana/$/$/Holiday Inn Victorville,0.11

Jrg/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Norbert/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

Norbert/$/$/Days Inn Bangor Airport,0.06

Norbert/$/$/Hotel Vorbach,0.0

B. 53 Jahre/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.1

Erika/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.0

"Erika/$/$/The Alexandrian, Autograph Collection",0.0

Erika/$/$/Knights Inn Amarillo Airport,0.12

Erika/$/$/Jvd Hotels,0.0

Erika/$/$/Best Western Knoxville Suites,0.0

Erika/$/$/Hotel Roc Flamingo,0.0

Erika/$/$/Fiesta Inn and Suites,0.08

Kai/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.1

Airedales2/$/$/The Point,0.0

Bjarke R/$/$/The Point,0.0

Guillen/$/$/The Point,0.0

Julie F/$/$/The Point,0.0

ellen00007/$/$/The Point,0.0

GracieLouNY/$/$/The Point,0.0

motomomMaryland/$/$/The Point,0.0

Dushi110/$/$/The Point,0.0

DrThought/$/$/The Point,0.0

Szerzek/$/$/The Point,0.0

Sarahbnyc83/$/$/The Point,0.0

SJFLondon/$/$/The Point,0.0

Mark/$/$/The Houstonian Hotel,0.06

Mark/$/$/Best Western Plus Waterville Grand Hotel,0.08

Mark/$/$/Howard Johnson Inn Columbia,0.15

Mark/$/$/Days Inn Branson / Near The Strip,0.1

Mark/$/$/Super 8 Ithaca,0.13

Mark/$/$/Doubletree By Hilton Hotel Bay City - Riverfront,0.0

Mark/$/$/Country Inn and Suites By Carlson Corbin,0.08

Mark/$/$/Inn At Queen Anne,0.17

Mark/$/$/La Quinta Inn and Suites Sunrise,0.03

Mark/$/$/Holiday Inn Express and Suites Canyonville,0.17

"Mark/$/$/The Alexandrian, Autograph Collection",0.5

Mark/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.0

Mark/$/$/Ramada Vandalia,0.05

Mark/$/$/Super 8 Elko Nv,0.1

Mark/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.47

Mark/$/$/Comfort Inn Livermore,0.1

Mark/$/$/Hotel Portaventura,0.05

Mark/$/$/Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,0.08

Mark/$/$/Fh Hotel Villa Fiesole,0.06

Mark/$/$/Pelican Shores Inn,0.0

Mark/$/$/The Kinney - Venice Beach,0.07

Mark/$/$/Plaza Hotel and Casino - Las Vegas,0.1

Mark/$/$/Holiday Inn Express - Harrisburg East,0.05

Mark/$/$/Country Inn and Suites By Carlson,0.1

Mark/$/$/Extended Stay America - Fort Lauderdale - Davie,0.11

Mark/$/$/Suburban Extended Stay of Memphis Bartlett,0.14

Mark/$/$/Extended Stay America - Rockford - I-90,0.1

Mark/$/$/Red Rest Inn,0.07

Mark/$/$/Hotel Silken Siete Coronas,0.0

Mark/$/$/Quality Inn,0.06

Mark/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.51

Mark/$/$/Howard Johnson Inn - Newburgh,0.31

Mark/$/$/Quality Inn and Suites Eugene-springfield,0.07

Mark/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.46

Mark/$/$/Gardena Terrace Inn,0.02

Mark/$/$/Quality Inn and Suites,0.1

Mark/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.1

Mark/$/$/Fairbridge Inn,0.2

Mark/$/$/Fairfield Inn and Suites By Marriott Plainville,0.1

Mark/$/$/Super 8 - Effingham,0.08

Mark/$/$/Best Western Plus Kelly Inn,0.0

Mark/$/$/Super 8 - Upland,0.18

Mark/$/$/Days Inn North Columbia Ft. Jackson,0.11

Mark/$/$/Bayside Resort Hotel,0.14

Mark/$/$/Comfort Inn Montgomery,0.12

Mark/$/$/Super 8 Indianapolis,0.11

Mark/$/$/Hampton Inn Dublin,0.06

Mark/$/$/Towneplace Suites Albany University Area,0.03

Mark/$/$/Super 8 Kansas City Airport,0.3

Mark/$/$/Hotel Garibaldi,0.45

Mark/$/$/Arizona Inn of Prescott Valley,0.36

Mark/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.57

Mark/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.42

Mark/$/$/Sleep Inn Slidell,0.09

Mark/$/$/Quality Inn and Suites Irvine Spectrum,0.1

Mark/$/$/Monarch Inn,0.35

Mark/$/$/Courtyard By Marriott Downtown Boise,0.09

Mark/$/$/Greenstay Hotel and Suites,0.12

Mark/$/$/Comfort Suites Fort Pierce,0.07

Mark/$/$/Best Western Hartford Hotel & Suites,0.09

Mark/$/$/Residence Inn By Marriott Tucson Williams Centre,0.02

Mark/$/$/Econo Lodge Miles City,0.06

Mark/$/$/Castle Kona Reef,0.17

Mark/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.44

Mark/$/$/Americas Best Value Inn,0.11

Raeann/$/$/The Houstonian Hotel,0.53

KRISTIN/$/$/The Houstonian Hotel,0.09

Helen/$/$/The Houstonian Hotel,0.14

Helen/$/$/Best Western Plus Kelly Inn,0.11

Helen/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.16

Helen/$/$/Candlewood Suites Eugene Springfield,0.0

Helen/$/$/Elba Sara Beach & Golf Resort,0.15

Helen/$/$/Comfort Inn and Suites,0.14

Jorge/$/$/The Houstonian Hotel,0.0

Jorge/$/$/Hotel De La Ville,0.04

Jorge/$/$/Residence Inn By Marriott Irvine John Wayne Airport,0.49

Jorge/$/$/Plaza Hotel and Casino - Las Vegas,0.37

Jorge/$/$/Best Western Hospitality Hotel and Suites,0.04

Jorge/$/$/Travelodge Anaheim Convention Center,0.1

Jorge/$/$/Super 8 - Upland,0.12

Jorge/$/$/Super 8 Kansas City Airport,0.15

Jorge/$/$/Anaheim Marriott Suites,0.0

Jorge/$/$/City Express Irapuato,0.0

Lexie/$/$/The Houstonian Hotel,0.09

Clarissa/$/$/The Houstonian Hotel,0.09

Clarissa/$/$/Sheraton Offenbach Hotel,0.12

Thomas L/$/$/The Houstonian Hotel,0.09

William/$/$/The Houstonian Hotel,0.05

William/$/$/Best Western Plus Waterville Grand Hotel,0.41

William/$/$/Howard Johnson Inn Columbia,0.14

William/$/$/Days Inn Branson / Near The Strip,0.11

William/$/$/Best Western Plus Arlington North Hotel and Suites,0.05

William/$/$/Inn At Queen Anne,0.35

William/$/$/Ramada,0.12

"William/$/$/The Alexandrian, Autograph Collection",0.5

William/$/$/Hampton Inn New Orleans - Downtown,0.04

William/$/$/Quality Inn and Suites,0.12

William/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.08

William/$/$/Hyatt Place Utica,0.48

William/$/$/Holiday Inn Express - Harrisburg East,0.04

William/$/$/Quality Inn Near Six Flags,0.07

William/$/$/Red Roof Inn St Louis - Troy,0.05

William/$/$/Hampton Inn Abilene,0.02

William/$/$/Jacksonville Plaza Hotel and Suites,0.4

William/$/$/Hawthorn Suites Dayton North,0.16

William/$/$/Red Rest Inn,0.13

William/$/$/Lakeway Resort & Spa,0.05

William/$/$/La Quinta Inn and Suites Nashville Franklin,0.08

William/$/$/Harrah's Laughlin Hotel and Casino,0.1

William/$/$/Americas Best Value Inn and Suites,0.09

William/$/$/The Westin Europa and Regina,0.5

William/$/$/Gardena Terrace Inn,0.03

William/$/$/Hotel Aura Sfo,0.13

William/$/$/Hampton Inn Bloomington West,0.07

William/$/$/Hotel An Der Philharmonie,0.06

William/$/$/Hilton San Diego Airport/harbor Island,0.07

William/$/$/Western Inn-glacier Park,0.18

William/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.04

William/$/$/Hotel Metropole,0.11

William/$/$/Microtel Inn By Wyndham Knoxville,0.33

William/$/$/Comfort Inn Birmingham - Irondale,0.4

William/$/$/Super 8 Madison,0.44

William/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.07

William/$/$/Days Inn Fort Wayne,0.12

William/$/$/Radisson Blu Conference and Airport Hotel,0.05

William/$/$/Super 8 Batesville Ar,0.11

William/$/$/La Quinta Inn and Suites Hopkinsville,0.09

William/$/$/Garden of The Gods Club & Resort,0.0

William/$/$/Red Roof Inn Erie,0.0

William/$/$/Hampton Inn Dublin,0.04

William/$/$/Hampton Inn and Suites Annapolis,0.02

William/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

William/$/$/Quality Inn Long Beach Airport,0.33

William/$/$/Comfort Suites,0.04

William/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0

William/$/$/Hotel Valencia Santana Row,0.49

William/$/$/The Westin Buckhead,0.06

William/$/$/Greenstay Hotel and Suites,0.13

William/$/$/La Quinta Inn and Suites Meridian,0.12

William/$/$/Americas Best Value Inn,0.3

William/$/$/Hotel Eugne En Ville,0.12

William/$/$/Comfort Inn and Suites,0.1

William/$/$/Holiday Inn Express Hotel & Suites Emporia,0.1

William/$/$/Cherokee Lodge Bed and Breakfast,0.5

Marilyn/$/$/The Houstonian Hotel,0.07

Marilyn/$/$/Best Western of Long Beach,0.06

Marilyn/$/$/Hyatt Place Pittsburgh Cranberry,0.05

Marilyn/$/$/Palm Suites,0.1

Marilyn/$/$/Best Western Plus Kelly Inn,0.03

Marilyn/$/$/Super 8 Batesville Ar,0.35

Marilyn/$/$/Hotel Eugne En Ville,0.5

Lynn/$/$/The Houstonian Hotel,0.0

Lynn/$/$/La Quinta Inn and Suites Sunrise,0.0

"Lynn/$/$/The Alexandrian, Autograph Collection",0.0

Lynn/$/$/Americas Best Value Inn,0.3

Lynn/$/$/Plaza Hotel and Casino - Las Vegas,0.05

Lynn/$/$/Hampton Inn Abilene,0.0

Lynn/$/$/Tidewater Inn,0.03

Lynn/$/$/Fairfield Inn Saginaw,0.0

Lynn/$/$/Palm Suites,0.07

Lynn/$/$/Holiday Inn Express - Hillsboro,0.09

Lynn/$/$/Red Roof Inn Erie,0.0

Lynn/$/$/Mccamly Plaza Hotel,0.03

Lynn/$/$/Microtel Inn and Suites By Wyndham Burlington,0.09

Lynn/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.03

Lynn/$/$/Econo Lodge Miles City,0.02

Marcus/$/$/The Houstonian Hotel,0.0

Marcus/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.0

Marcus/$/$/Country Inn and Suites By Carlson,0.0

Marcus/$/$/Fiesta Inn and Suites,0.1

Liz/$/$/The Houstonian Hotel,0.53

Liz/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.08

Liz/$/$/Super 8 Big Cabin Vinita Ok,0.16

Millicent/$/$/The Houstonian Hotel,0.09

suzanne t/$/$/The Houstonian Hotel,0.0

Danny/$/$/The Houstonian Hotel,0.0

Danny/$/$/Howard Johnson Inn Columbia,0.11

Danny/$/$/Country Inn and Suites By Carlson Corbin,0.04

Danny/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.0

Danny/$/$/Lakeway Resort & Spa,0.5

Danny/$/$/Mccamly Plaza Hotel,0.0

Danny/$/$/Econo Lodge Bellmawr,0.07

Danny/$/$/Hotel Eugne En Ville,0.0

Ahmed/$/$/The Houstonian Hotel,0.0

Ahmed/$/$/Howard Johnson Inn - Newburgh,0.0

Cora/$/$/The Houstonian Hotel,0.04

Cora/$/$/La Quinta Inn and Suites Nashville Franklin,0.11

Patrice/$/$/The Houstonian Hotel,0.0

Patrice/$/$/Holiday Inn Express - Harrisburg East,0.0

Patrice/$/$/Inn At Mendenhall,0.0

Karyn/$/$/The Houstonian Hotel,0.0

Karyn/$/$/Days Inn Warren,0.06

cecilia/$/$/The Houstonian Hotel,0.09

Letitia/$/$/The Houstonian Hotel,0.09

John Paul/$/$/The Houstonian Hotel,0.09

Judith/$/$/The Houstonian Hotel,0.53

Judith/$/$/Comfort Inn,0.01

Judith/$/$/Vista Hotel On Lake Tarpon,0.09

Judith/$/$/Super 8 Manhattan Ks,0.38

Judith/$/$/Comfort Inn Deland - Near University,0.08

Judith/$/$/Super 8 Schenect/albany Area,0.07

Harry/$/$/The Houstonian Hotel,0.0

Harry/$/$/Super 8 Pittsburgh/monroeville,0.07

"Harry/$/$/The Alexandrian, Autograph Collection",0.0

Harry/$/$/Hotel Portaventura,0.04

Harry/$/$/Quality Suites Intercontinental Airport West,0.09

Harry/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.05

Harry/$/$/Campus Inn & Suites Eugene Downtown,0.11

Miles/$/$/The Houstonian Hotel,0.0

Miles/$/$/Holiday Inn Express - Harrisburg East,0.0

Cynthia/$/$/The Houstonian Hotel,0.0

Cynthia/$/$/Days Inn Brookings,0.09

Cynthia/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.07

Cynthia/$/$/Country Inn and Suites By Carlson Corbin,0.04

"Cynthia/$/$/The Alexandrian, Autograph Collection",0.02

Cynthia/$/$/Baymont Inn & Suites Griffin,0.04

Cynthia/$/$/La Quinta Inn and Suites Nashville Franklin,0.05

Cynthia/$/$/Chelsea Inn,0.01

Cynthia/$/$/Quality Inn,0.05

Cynthia/$/$/Norwood Inn and Suites,0.18

Cynthia/$/$/Harrah's Laughlin Hotel and Casino,0.07

Cynthia/$/$/The Westin Europa and Regina,0.05

Cynthia/$/$/Anglers Inn,0.11

Cynthia/$/$/Travelodge Anaheim Convention Center,0.12

Cynthia/$/$/Super 8 Belle Fourche,0.07

Cynthia/$/$/Residence Inn By Marriott Springdale,0.0

Cynthia/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Cynthia/$/$/Fiesta Inn and Suites,0.16

Cynthia/$/$/Comfort Suites,0.0

Cynthia/$/$/Holiday Inn Express San Clemente,0.0

Cynthia/$/$/La Quinta Inn and Suites Meridian,0.11

Emmanuel/$/$/The Houstonian Hotel,0.09

Jose/$/$/The Houstonian Hotel,0.0

Jose/$/$/Super 8 Columbia Dwntwn Sc,0.14

Jose/$/$/Ambassadors Inn and Suites,0.09

Jose/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.06

Jose/$/$/Holiday Inn Canyon De Chelly,0.04

Jose/$/$/Extended Stay America - Orlando Theme Parks - Vineland Rd.,0.07

Jose/$/$/Fiesta Inn Centro Historico,0.0

Jose/$/$/Best Western Plus French Quarter Landmark Hotel,0.0

Jose/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.42

Jose/$/$/Best Western of Long Beach,0.01

Jose/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.02

Jose/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.0

Jose/$/$/Hampton Inn Tucson-airport,0.0

Jose/$/$/Super 8 Bradenton Sarasota Area,0.08

Jose/$/$/Quality Inn Long Beach Airport,0.13

Jose/$/$/Americas Best Value Inn - Medical Center/airport,0.03

Jose/$/$/Courtyard By Marriott Downtown Boise,0.02

Jose/$/$/Elba Sara Beach & Golf Resort,0.0

Sherri/$/$/The Houstonian Hotel,0.06

Sherri/$/$/Fireside Inn Santa Cruz,0.14

Sherri/$/$/Wingate By Wyndham Pueblo,0.04

Marie/$/$/The Houstonian Hotel,0.08

Marie/$/$/Comfort Suites Southport,0.17

"Marie/$/$/The Citizen Hotel, Autograph Collection",0.0

Marie/$/$/Ramada Vandalia,0.12

Marie/$/$/Fh Hotel Villa Fiesole,0.1

Marie/$/$/Pelican Shores Inn,0.0

Marie/$/$/Campanile Lyon Ecully,0.16

Roshell/$/$/The Houstonian Hotel,0.09

Marc/$/$/The Houstonian Hotel,0.0

Marc/$/$/Fireside Inn Santa Cruz,0.0

Marc/$/$/Melia Paris Champs-elyses,0.0

Marc/$/$/Super 8 - Upland,0.04

Marc/$/$/Campanile Lyon Ecully,0.0

Marc/$/$/Inter-hotel Orlans Nord,0.0

Marc/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.0

Marc/$/$/Knights Inn Carmel Hill,0.0

Jason/$/$/The Houstonian Hotel,0.05

Jason/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.15

Jason/$/$/Durango Travelodge,0.14

Jason/$/$/Country Inn and Suites By Carlson Corbin,0.08

"Jason/$/$/The Alexandrian, Autograph Collection",0.08

Jason/$/$/Baymont Inn and Suites Enid,0.11

Jason/$/$/Americinn Coralville,0.09

Jason/$/$/Quality Inn and Suites,0.11

Jason/$/$/Super 8 Manhattan Ks,0.1

Jason/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.12

Jason/$/$/Pelican Shores Inn,0.0

Jason/$/$/Hyatt Place Utica,0.12

Jason/$/$/Dallas/fort Worth Marriott Solana,0.11

Jason/$/$/Hampton Inn Abilene,0.02

Jason/$/$/Extended Stay America - Fort Lauderdale - Davie,0.1

Jason/$/$/Jvd Hotels,0.16

Jason/$/$/Fireside Inn Santa Cruz,0.12

Jason/$/$/Samui Cliff View Resort & Spa,0.04

Jason/$/$/Country Inn & Suites By Carlson,0.16

Jason/$/$/Fairfield Inn Saginaw,0.04

Jason/$/$/Americas Best Value Inn and Suites,0.13

Jason/$/$/Hampton Inn Bloomington West,0.09

Jason/$/$/Comfort Inn Deland - Near University,0.12

Jason/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.11

Jason/$/$/Americas Best Value Inn,0.12

Jason/$/$/Clatskanie River Inn,0.03

Jason/$/$/La Quinta Inn and Suites Hopkinsville,0.48

Jason/$/$/Super 8 Blackwell Ok,0.1

Jason/$/$/Residence Inn By Marriott Hartford Downtown,0.06

Jason/$/$/Monterey Beach Dunes Inn,0.15

Jason/$/$/Wingate By Wyndham Pueblo,0.04

Jason/$/$/Baymont Inn and Suites Boone,0.14

Jason/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.14

Jason/$/$/Dockers Inn,0.46

Jason/$/$/Candlewood Suites Eugene Springfield,0.0

Jason/$/$/Holiday Inn Express San Clemente,0.01

Jason/$/$/Comfort Suites Fort Pierce,0.06

Jason/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.04

A/$/$/The Houstonian Hotel,0.0

A/$/$/Super 8 Ithaca,0.06

A/$/$/Days Inn Brookings,0.1

A/$/$/La Quinta Inn and Suites Sunrise,0.01

A/$/$/Ramada,0.05

A/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.0

A/$/$/Fiesta Inn Centro Historico,0.0

A/$/$/Super 8 Elko Nv,0.09

A/$/$/Super 8 Manhattan Ks,0.05

A/$/$/Wine Valley Lodge,0.45

A/$/$/Plaza Hotel and Casino - Las Vegas,0.06

A/$/$/Days Inn Ruther Glen Kings Dominion Area,0.09

A/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.46

A/$/$/Holiday Inn Express Hotel and Suites Raleigh-wakefield,0.0

A/$/$/Howard Johnson Inn - Newburgh,0.11

A/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.08

A/$/$/Bayside Resort Hotel,0.05

A/$/$/Residence Inn By Marriott Hartford Downtown,0.0

A/$/$/Wingate By Wyndham Pueblo,0.0

A/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

A/$/$/Courtyard By Marriott Downtown Boise,0.04

A/$/$/Red Roof Inn Cedar Rapids,0.16

A/$/$/Americas Best Value Inn,0.06

A/$/$/Residence Inn By Marriott Deptford,0.04

Shelley/$/$/The Houstonian Hotel,0.07

Shelley/$/$/Wine Valley Lodge,0.13

Shelley/$/$/Dallas/fort Worth Marriott Solana,0.07

Shelley/$/$/Quality Inn and Suites Eugene-springfield,0.07

Keith/$/$/The Houstonian Hotel,0.0

Keith/$/$/Knights Inn Aiken,0.08

"Keith/$/$/The Alexandrian, Autograph Collection",0.0

Keith/$/$/Americinn Coralville,0.03

Keith/$/$/Hampton Inn Fayetteville Fort Bragg,0.0

Keith/$/$/Hampton Inn Abilene,0.0

Keith/$/$/Days Inn West Memphis,0.02

Keith/$/$/Palm Suites,0.03

Keith/$/$/Comfort Inn and Suites Bend,0.0

Keith/$/$/Travelodge Ruther Glen,0.0

Keith/$/$/Knights Inn Carmel Hill,0.08

Keith/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.0

M/$/$/The Houstonian Hotel,0.02

M/$/$/Ambassadors Inn and Suites,0.12

M/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.14

M/$/$/Super 8 Pittsburgh/monroeville,0.07

"M/$/$/The Alexandrian, Autograph Collection",0.04

M/$/$/Hampton Inn Fayetteville Fort Bragg,0.02

M/$/$/Wine Valley Lodge,0.45

M/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.46

M/$/$/Tidewater Inn,0.38

M/$/$/Homewood Suites - Mall of America,0.07

M/$/$/Hotel Silken Siete Coronas,0.0

M/$/$/Lakeway Resort & Spa,0.5

M/$/$/La Quinta Inn and Suites Nashville Franklin,0.05

M/$/$/Norwood Inn and Suites,0.17

M/$/$/Quality Inn and Suites Eugene-springfield,0.07

M/$/$/Harrah's Laughlin Hotel and Casino,0.08

M/$/$/Hotel Aura Sfo,0.45

M/$/$/Best Western of Long Beach,0.42

M/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.04

M/$/$/Country Inn and Suites By Carlson Galena,0.0

M/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.11

M/$/$/El Dorado Seaside Suites By Karisma - All Inclusive,0.07

M/$/$/Microtel Inn By Wyndham Knoxville,0.06

M/$/$/Travelodge Anaheim Convention Center,0.33

M/$/$/Hampton Inn Tucson-airport,0.0

M/$/$/Hampton Inn & Suites-downtown-tutwiler,0.04

M/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.07

M/$/$/Super 8 - Upland,0.14

M/$/$/Hyatt House Colorado Springs,0.06

M/$/$/Economy Inn,0.15

M/$/$/Red Roof Inn Erie,0.0

M/$/$/Wingate By Wyndham Pueblo,0.0

M/$/$/Campus Inn & Suites Eugene Downtown,0.09

M/$/$/Fiesta Inn and Suites,0.16

M/$/$/Arizona Inn of Prescott Valley,0.11

M/$/$/Quality Inn Long Beach Airport,0.33

M/$/$/Lamothe House,0.03

M/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.01

M/$/$/Hotel Eugne En Ville,0.08

daniellerc/$/$/Howard Johnson,0.0

Contributor/$/$/Howard Johnson,0.0

Contributor/$/$/Quality Inn,0.34

Contributor/$/$/Super 8,0.0

Contributor/$/$/Super 8 Ithaca,0.02

Contributor/$/$/Durango Travelodge,0.05

Contributor/$/$/La Quinta Inn & Suites Dublin,0.0

Contributor/$/$/Best Western Luxury Inn,0.0

Contributor/$/$/Knights Inn Aiken,0.08

Contributor/$/$/Super 8 Alamosa,0.0

Contributor/$/$/Super 8 Manhattan Ks,0.04

Contributor/$/$/Raintree Inn,0.0

Contributor/$/$/The Governor Hotel,0.0

Contributor/$/$/Super 8 Longmont / Del Camino,0.04

Contributor/$/$/Holiday Inn Express Dahlonega,0.0

Contributor/$/$/Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,0.0

Contributor/$/$/Super 8 Worthington Minnesota,0.06

Contributor/$/$/Econo Lodge,0.0

Contributor/$/$/Whiteface Chalet,0.13

Contributor/$/$/Super 8 Motel Fairmont,0.0

Contributor/$/$/Jvd Hotels,0.09

Contributor/$/$/Holiday Inn Express Colton-riverside North,0.37

Contributor/$/$/Fairfield Inn Saginaw,0.0

Contributor/$/$/Best Western Plus San Marcos Inn,0.0

Contributor/$/$/Budget Inn,0.0

Contributor/$/$/Comfort Inn Humboldt Bay,0.0

Contributor/$/$/La Quinta Inn and Suites Hopkinsville,0.04

Contributor/$/$/Super 8 Blackwell Ok,0.0

Contributor/$/$/Super 8 Belle Fourche,0.0

Contributor/$/$/Pizza Hut,0.0

Contributor/$/$/Comfort Inn,0.0

Contributor/$/$/Red Roof Inn Erie,0.47

Contributor/$/$/Knights Inn Eau Claire,0.0

Contributor/$/$/Super 8 Metropolis,0.0

